Park,Timepoint,Year,Abundance_per_kg,Richness,BrayCurtis_BetweenPark,Shannon_WholePark,Name,Urban_Kmeans_Cluster,MedianIncome,Municipality,Distance.From.CityCenter(km),Park_Area(m2),Perimeter-Area_ratio,Population_Density_in_Surrounding_Area,Imperviousness_in_500m_boundary,Spring2021_MoisturePercent,Soil_Water_Holding_Capacity,BD_mean,Soil_Nitrogen_Percentage,Soil_Carbon_Percentage,Soil_pH,MedianResidentAge
1,Fall,2021,226.351574,35,0,2.17354469,AqueductPark,High_Urban,23456,City of Rochester,0.22,1769,0.110231769,6439.3,74.8008341999999,20.47690488,26.650831353919248,1.391469432,0.2865956,3.316867,7.62,29.9
1,Fall,2022,0,0,1,0,AqueductPark,High_Urban,23456,City of Rochester,0.22,1769,0.110231769,6439.3,74.8008341999999,20.47690488,26.650831353919248,1.391469432,0.2865956,3.316867,7.62,29.9
1,Spring,2021,241.7872015,22,0.504477555,2.228308391,AqueductPark,High_Urban,23456,City of Rochester,0.22,1769,0.110231769,6439.3,74.8008341999999,20.47690488,26.650831353919248,1.391469432,0.2865956,3.316867,7.62,29.9
1,Spring,2022,152.401203,39,0.370497816,2.437533529,AqueductPark,High_Urban,23456,City of Rochester,0.22,1769,0.110231769,6439.3,74.8008341999999,20.47690488,26.650831353919248,1.391469432,0.2865956,3.316867,7.62,29.9
2,Fall,2021,161.2558165,46,0.472579578,3.005584093,BrowncrowftRoseGardenPark,High_Urban,58341,City of Rochester,5.23,5429,0.060416283,4968.5,27.60877955,22.28445592,27.470355731225293,1.280530592,0.2916181,3.953432,7.17,40.4
2,Fall,2022,166.5876098,41,0.654839068,2.714562434,BrowncrowftRoseGardenPark,High_Urban,58341,City of Rochester,5.23,5429,0.060416283,4968.5,27.60877955,22.28445592,27.470355731225293,1.280530592,0.2916181,3.953432,7.17,40.4
2,Spring,2021,179.4694925,34,0.464785625,2.35156585,BrowncrowftRoseGardenPark,High_Urban,58341,City of Rochester,5.23,5429,0.060416283,4968.5,27.60877955,22.28445592,27.470355731225293,1.280530592,0.2916181,3.953432,7.17,40.4
2,Spring,2022,101.8064328,39,0.825406303,2.886052276,BrowncrowftRoseGardenPark,High_Urban,58341,City of Rochester,5.23,5429,0.060416283,4968.5,27.60877955,22.28445592,27.470355731225293,1.280530592,0.2916181,3.953432,7.17,40.4
3,Fall,2021,101.6364318,28,0.596604863,1.927992325,BrownSquarePark,High_Urban,12977,City of Rochester,1.36,17197,0.031982322,1751.5,66.2523234199999,13.68643826,25.99711677078327,1.479040438,0.2640913,6.319005,7.5,25.6
3,Fall,2022,217.6650053,32,0.600849317,1.805134855,BrownSquarePark,High_Urban,12977,City of Rochester,1.36,17197,0.031982322,1751.5,66.2523234199999,13.68643826,25.99711677078327,1.479040438,0.2640913,6.319005,7.5,25.6
3,Spring,2021,125.9429858,24,0.570089622,2.193922203,BrownSquarePark,High_Urban,12977,City of Rochester,1.36,17197,0.031982322,1751.5,66.2523234199999,13.68643826,25.99711677078327,1.479040438,0.2640913,6.319005,7.5,25.6
3,Spring,2022,104.0651565,38,0.686182074,2.890122836,BrownSquarePark,High_Urban,12977,City of Rochester,1.36,17197,0.031982322,1751.5,66.2523234199999,13.68643826,25.99711677078327,1.479040438,0.2640913,6.319005,7.5,25.6
4,Fall,2021,154.82529,50,0.724286838,3.225727374,BucklandPark,Low_Urban,38902,City of Brighton,5.1,429755,0.006283394,815.6,23.0545094199999,10.13843641,29.686746987951807,1.301354464,0.337419,4.171235,7.26,22.1
4,Fall,2022,471.6522145,50,0.821258252,2.905146665,BucklandPark,Low_Urban,38902,City of Brighton,5.1,429755,0.006283394,815.6,23.0545094199999,10.13843641,29.686746987951807,1.301354464,0.337419,4.171235,7.26,22.1
4,Spring,2021,184.9903943,41,0.681528784,2.5381706,BucklandPark,Low_Urban,38902,City of Brighton,5.1,429755,0.006283394,815.6,23.0545094199999,10.13843641,29.686746987951807,1.301354464,0.337419,4.171235,7.26,22.1
4,Spring,2022,113.1693955,26,0.619310168,2.146526921,BucklandPark,Low_Urban,38902,City of Brighton,5.1,429755,0.006283394,815.6,23.0545094199999,10.13843641,29.686746987951807,1.301354464,0.337419,4.171235,7.26,22.1
