Variable,Variable_Class,Abundance_MseInc_highurban,Abundance_MseInc_lowurban,Richness_MseInc_highurban,Richness_MseInc_lowurban,Shannon_MseInc_highurban,Shannon_MseInc_lowurban,Beta_MseInc_highurban,Beta_MseInc_lowurban
Timepoint,Time,-4.959527293,39.21544187,11.51059918,13.47919534,7.910420306,-5.756034033,-8.665595072,16.11998162
Median_Household_Income,Socioeconomic,7.428806771,14.09041441,6.172231529,25.01881708,5.694909542,7.252811839,15.09347505,20.55297064
Park_Area,Spatial,1.007855295,24.01909566,1.403870321,15.27174767,0.236076854,5.292551976,12.12094346,18.94837732
Perimeter_Area_Ratio,Spatial,3.664468258,23.90029547,9.015435101,15.85061759,-0.788138926,3.475413666,16.77416027,17.13173118
Population_Density,Socioeconomic,10.68547881,12.38409077,9.810642526,21.1188518,7.72308406,19.24536216,12.65588894,9.617296892
Impervious_Surface,Spatial,14.93337981,18.28896383,18.28460089,22.43877188,2.354079091,10.78015578,43.99630268,15.8556797
Soil_WHC,Soil,-2.690868679,24.49041117,12.70452739,3.336242338,1.709553046,20.35788707,15.72176377,21.40024411
Bulk_Density,Soil,3.43715991,13.17109655,14.45050051,15.23851241,3.998515621,8.642391616,26.3111898,12.7346234
Soil_N,Soil,13.87904513,25.63328773,7.341239772,27.70462049,7.167423781,-1.318027026,6.334250602,7.046030856
Soil_C,Soil,14.39679361,20.74376958,13.44948854,20.79969956,11.03508867,2.625402206,12.17602041,7.910277237
Soil_pH,Soil,4.902973717,7.280152898,11.09978029,9.456282251,-3.674898672,20.13052322,15.45182623,8.956214422
Median_Resident_Age,Socioeconomic,17.32446887,14.86242056,8.941360775,13.1660501,13.07301452,10.20266668,26.40542077,17.70242733
Soil_Sand,Soil,3.997719392,10.02405074,10.96997075,18.02439209,-0.205014131,-0.315574679,13.26956344,12.97537006
Soil_Silt,Soil,3.432099637,13.92000352,8.469802286,8.866341744,2.481198442,3.499114511,13.29487186,8.364193601
Soil_Clay,Soil,15.98529709,7.909284613,2.290606582,18.94818558,10.11085404,0.585987961,15.88898334,8.253725756
Soil_Saturation,Soil,2.057849146,12.21815085,15.02726517,14.32756948,2.996472391,13.08472498,25.16788156,8.311725292
Soil_Moisture,Soil,2.51328604,8.07887814,16.99567879,13.80122238,2.851643978,19.00227867,26.54533876,7.850133313
