Park,Timepoint,Year,Name,Municipality,Urban_Kmeans_Cluster,MedianIncome,Distance.From.CityCenter(km),Park_Area(m2),Perimeter-Area_ratio,Population_Density_in_Surrounding_Area,Imperviousness_in_500m_boundary,Soil_Water_Holding_Capacity,BD_mean,Soil_Nitrogen_Percentage,Soil_Carbon_Percentage,Soil_pH,MedianResidentAge,Soil_Sand,Soil_Silt,Soil_Clay,Soil_Saturation,Soil_Moisture,PC1_Urban,PC2_SoilSpatial,PC3_SoilResource,Abundance_per_kg,Richness,BrayCurtis_BetweenPark,Shannon_WholePark,Entomobryidae,Sminthuridae,Isotomidae,Onychiuridae,Neanuridae,Hypogasturidae,Oribatidae_Phenopelopidae_Morpho1,Prostigmata_Erythraeoidea_Morpho2,Prostigmata_Tydeidae_Morpho_2,Mesostigmata_Rhodacaridae_Morpho4,Mesostigmata_Digamasellidae_Longoseuis_Morpho4,Mesostigmata_Macrochelidae_Morpho1,Mesostigmata_Rhodacaridae_Minirhodacarellus_minimus,Oribatidae_Brachychthoniidae_Morpho1,Prostigmata_Erythraeoidea_Morpho3,Prostigmata_Tetranychoidea_Morpho1,Prostigmata_Erythraeoidea_Morpho1,Prostig12,Oribatidae_Eniochthoniidae_Morpho1,Prostigmata_Pyemotoidea_Morpho2,Prostigmata_Tydeidae_Morpho_1,Mesostig1,Mesostigmata_Rhodacaridae_Morpho2,Mesostigmata_Dermanyssidae_Morpho1,Mesostigmata_Parasitidae_Morpho2,Mesostigmata_Dermanyssidae_Morpho2,Mesostigmata_Laelapidae_Morpho4,Mesostigmata_Laelapidae_Morpho5,Mesostigmata_Digamasellidae_Morpho3,Mesostigmata_Ascidae_Xenoseius_Morpho2,Mesostigmata_Digamasellidae_Morpho1,Mesostig11,Mesostigmata_Blattisociidae_Lasioscius_Morpho1,Mesostigmata_Parholaspididae_Morpho1,Mesostigmata_Rhodacaridae_Morpho1,Mesostigmata_Parasitidae_Morpho1,Mesostigmata_Laelapidae_Morpho1,Mesostigmata_Trachyuropodidae_Morpho1,Mesostigmata_Blattisociidae_Morpho2,Mesostigmata_Eviphididae_Morpho2,Mesostigmata_Ascidae_Morpho1,Mesostigmata_Ameroseiidae_Morpho1,Mesostigmata_Rhodacaridae_Protogamasellopsis_Morpho3,Mesostigmata_Thinozerconidae_Morpho1,Mesostig24,Mesostigmata_Eviphididae_Morpho3,Mesostigmata_Ascidae_Xenoseius_Morpho3,Mesostigmata_Uropodidae_Morpho1,Mesostigmata_Digamasellidae_Morpho2,Endeostigmata_Alicorhagiidae_Morpho1,Mesostigmata_Laelapidae_Morpho2,Mesostigmata_Uropodoidae_Morpho3,Mesostigmata_Ameroseiidae_Morpho2,Mesostigmata_Pachylaelapidae_Sphaeerolaelaps_halothyroidea,Oribatidae_Parakalummidae_Morpho1,Oribatidae_Oribatellidae_Oribatella_Morpho1,Oribatidae_Tectocepheidae_Techtocepheus_Morpho3,Oribatidae_Galumnidae_Morpho3,Oribatidae_Oribatulidae_Morpho2,Oribatid8,Oribatidae_Parakalummidae_Morpho3,Oribatidae_Galumnidae_Morpho1,Oribatidae_Eupthiracaridae_Morpho1,Oribatidae_Hermanniidae_Hermania_reticulata,Oribatidae_Camisiidae_Platynothrus_peltifer,Oribatidae_Tectocepheidae_Morpho1,Oribatidae_Haplozeticae_Morpho1,Oribatidae_Galumnidae_Morpho2,Oribatidae_Oribatellidae_Morpho2,Oribatidae_Tectocepheidae_Morpho2,Oribatidae_Parakalummidae_Neoribates_Morpho2,Oribatidae_Opiidae_Morpho1,Oribatidae_Achipteriidae_Morpho1,Oribatidae_Eulohmanniidae_Morpho2,Oribatidae_Oribatulidae_Morpho1,Astig2,Astigmata_Hypopi_Morpho1,Astig4,Astigmata_Hypopi_Morpho2,Astigmata_Acaridae,Prostigmata_Pyemotoidea_Morpho1,Astig8,Astig9,Astig10,Astig11,Astig12,Astig13,Astig14,Astig15,Astig16,Brachymyrmex_depilis,Ponera pennsylvanica,Tetramorium_immigrans,Lasius_americanus,Lasius_nearcticus,Enchytraeid,Fungus_Gnat_Larvae,Millipede,Pauropod,Protura,Staphylinid,Symphylan,Isopod,Snail,Pseudoscorpion,Parasitic wasp,Mesostigmata_Trachyuropodidae_Leonardiella_Morpho1,Prostig20,Mesostigmata_Podocinidae_Morpho1,Mesostigmata_Laelapidae_Ololaelaps_Morpho3,Mesostigmata_Eviphididae_Morpho1,Prenolepis_imparis,Lithobiidae,Geophilidae,Total_Centipedes,Japygoidea,Campodeidae,Total_Diplura,Prostig 22,Mesostigmata_Uropodidae_Morpho2,Earwig,Tetramorium immigrans,Araneae
1,Fall,2021,AqueductPark,City of Rochester,High_Urban,23456,0.22,1769,0.110231769,6439.3,74.8008342,26.65083135,1.391469432,0.2865956,3.316867,7.62,29.9,33,42,25,0.281229834,7.495008877,-0.971480018,-0.434703713,-0.219772545,226.351574,35,0,2.17354469,0.005067096,0,0.003326578,0,0,0,8.66E-04,0,0,0.001089629,0,0,0,0,0,0,0,0,0,0,2.74E-04,0,0,0,0,0,0.008090572,0,0,0.004478318,5.48E-04,0,0,0.001369171,0.001975211,0,0,0,0.001367744,0,0,0,0.001906851,0.002887839,0,0,0,0,0,0.001641578,0,0,5.78E-04,0,0.008930673,0.101267486,8.22E-04,5.45E-04,0,0.005500128,0.008374732,2.89E-04,2.72E-04,0,0,0,0.006930812,0,0,0.002451665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041105056,0,5.78E-04,0.00328601,0,2.72E-04,0,0,0,0,8.82E-04,0.004630923,0,0,0,0,0,0,0,0,0,0,0.001363463,0,0.001363463,0,0,2.89E-04,0,0,0,0,0.001732703
1,Spring,2022,AqueductPark,City of Rochester,High_Urban,23456,0.22,1769,0.110231769,6439.3,74.8008342,26.65083135,1.391469432,0.2865956,3.316867,7.62,29.9,33,42,25,0.281229834,7.495008877,-0.971480018,-0.434703713,-0.219772545,152.401203,39,0.370497816,2.437533529,7.50E-04,0.001858379,0.002505927,0,0,2.48E-04,0.001574834,9.99E-04,7.42E-04,0.00134698,0,0,0,0,0,9.99E-04,0,0,0,0,0,0,0.001462711,0,0,0,0.001748936,0,7.42E-04,2.69E-04,2.48E-04,0,0,0.002988495,0.001756285,0,0,0,0,2.50E-04,0,2.69E-04,0.007186384,2.48E-04,0,0,0,0,0,0,0,0,0,0,0.008030428,0.040617205,0.001038488,0,4.73E-04,0,0.004279251,0,0,0,2.69E-04,0,0.008793411,7.50E-04,0,0,0,5.19E-04,0,0,0,0,0.00134698,0,2.23E-04,0,0,0,0,0,0,0,0,0,0,0,0.044094194,0,0.001616376,0.006292992,2.23E-04,0,0.002016596,0,0,0,0,5.19E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001552794,0,0.001552892,0,0,0,0,0
2,Fall,2021,BrowncrowftRoseGardenPark,City of Rochester,High_Urban,58341,5.23,5429,0.060416283,4968.5,27.60877955,27.47035573,1.280530592,0.2916181,3.953432,7.17,40.4,40,43,17,0.792689292,21.77545683,0.489606829,-0.50063917,-0.23951412,161.2558165,46,0.472579578,3.005584093,0.003911773,0,0.005113248,3.07E-04,0,0.001315903,0.001388465,0,0,0.001758829,0,0,0,0,0,0,0,0,0,0,0,0,0.006025978,2.63E-04,3.07E-04,0,0.012131426,7.80E-04,0.001765626,0,7.90E-04,0,0,0.002822524,5.08E-04,5.38E-04,0,0,0.002096386,4.63E-04,0,0,0.008922465,0.00122519,4.63E-04,0,0.001688011,0,0,6.14E-04,0.004365375,2.54E-04,0,0,0.00765427,0.041738353,0,0.011424442,0,0.00482343,0,0,0.001996948,0,5.26E-04,0,0.001570025,0,0,0,0,0,0,0,0,0,0,0,0,9.20E-04,0,0,0,0,0,0,0,0,0,0,0.011890859,0,3.07E-04,0.002147776,0,0.00122519,0,0,0.001121896,7.62E-04,0.002307902,0.00227354,0,2.63E-04,0,0,0,0.002082697,0,0,0,0,0.002490501,0,0.002490501,0,0,0.001420234,0,0,0,0,0
2,Fall,2022,BrowncrowftRoseGardenPark,City of Rochester,High_Urban,58341,5.23,5429,0.060416283,4968.5,27.60877955,27.47035573,1.280530592,0.2916181,3.953432,7.17,40.4,40,43,17,0.792689292,21.77545683,0.489606829,-0.50063917,-0.23951412,166.5876098,41,0.654839068,2.714562434,0.003508549,2.65E-04,0.050526221,0,0,0,6.36E-04,0,0,5.48E-04,0,0,0,0,8.04E-04,0,0,0,0,0,0,8.18E-04,0.003535117,0,0,0,0.007326498,8.04E-04,0.006323894,0,2.35E-04,0,0,0.009411383,0.00167002,0,0,0,0,0.001900118,0,0,0.00317853,0,0,0,5.48E-04,0,0,0.001748919,0.0013256,0,0,0,0.002764067,0.029976517,0,0.002969454,5.53E-04,0.003443006,0,0,0.002542824,0,0,0,9.40E-04,0,0,0,0,6.36E-04,0,0,0,3.18E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001271412,0,0,5.30E-04,0,0.001863241,0,3.18E-04,2.74E-04,8.22E-04,0.001996729,0,0,0,0,0,0,0,0,0,0,0,0.0028168,0,0.0028168,0.004602998,0,0.004602998,0.002120959,0,0,0,0.003296163
2,Spring,2021,BrowncrowftRoseGardenPark,City of Rochester,High_Urban,58341,5.23,5429,0.060416283,4968.5,27.60877955,27.47035573,1.280530592,0.2916181,3.953432,7.17,40.4,40,43,17,0.792689292,21.77545683,0.489606829,-0.50063917,-0.23951412,179.4694925,34,0.464785625,2.35156585,0.004869446,0.004156371,0.004580736,0,0,0,2.63E-04,6.14E-04,0.021322598,0.001490482,0.001046571,3.07E-04,0.001315903,0,0,0,0,0,0,0,0,5.38E-04,0.016030179,3.07E-04,0,0.00603301,7.58E-04,0.00158199,2.32E-04,2.32E-04,0.003566776,5.08E-04,0.002541227,0.002550285,2.63E-04,2.63E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002623785,0.051955473,0,0.006272637,3.07E-04,5.26E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001140012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038637024,2.63E-04,0,0,0,0,0,0,0,0,0,2.32E-04,0,0,0,0,0,0,0,0,0,0,0,0,0.002142848,0,0,0,0,0,0,0,0
2,Spring,2022,BrowncrowftRoseGardenPark,City of Rochester,High_Urban,58341,5.23,5429,0.060416283,4968.5,27.60877955,27.47035573,1.280530592,0.2916181,3.953432,7.17,40.4,40,43,17,0.792689292,21.77545683,0.489606829,-0.50063917,-0.23951412,101.8064328,39,0.825406303,2.886052276,0.00093,0.003899047,0.005896543,0,0,7.39E-04,6.77E-04,0,0,9.64E-04,0,0,0,0,0,0,0,0,0,0,0,0,0.01938889,0,0,0,0,0,0.004482593,2.35E-04,0,0,0,0.004033683,0.001642978,2.35E-04,2.35E-04,0,4.79E-04,0,0,0,0.016875487,0,2.60E-04,0,2.26E-04,0,2.35E-04,0,0,0,0,0,0.001040046,0.005069701,0,0.003072698,0,2.60E-04,0.00349152,9.03E-04,0.001560069,0,0,2.26E-04,0,0,0,0,0,0.002004191,0,0,0,0,0,5.20E-04,0,0.002347112,0,0,0,0,0,0,0,0,0,0,0.004385934,2.26E-04,0,7.80E-04,0,0.002552675,0.00857974,0,2.35E-04,0.001924118,0,2.26E-04,0,0,0,0,0,0,0,0,0,0,0,4.86E-04,4.86E-04,0,0,0,0,0,0,0,0
3,Fall,2021,BrownSquarePark,City of Rochester,High_Urban,12977,1.36,17197,0.031982322,1751.5,66.25232342,25.99711677,1.479040438,0.2640913,6.319005,7.5,25.6,48,33,19,0.480008264,12.47883089,-0.631947318,0.018639089,0.189807146,101.6364318,28,0.596604863,1.927992325,0,0,0.005780325,0.002752536,0,0,0.001762913,0,0,2.75E-04,0,8.26E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001101014,0,0.00117763,0,0,0,8.26E-04,0,0,0,0,0,3.10E-04,0,0,0,0.003027789,0,0,0,0,0,0,2.75E-04,8.26E-04,0,0,0,0.008712615,0.001529499,2.75E-04,0,0,3.14E-04,5.51E-04,0.002477282,0,0,0,0,0.002745436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053843458,3.14E-04,0.009639231,0,0,0,0,0,0,0,9.05E-04,2.78E-04,0,0,0,0,0,0,0,2.78E-04,0,0,2.78E-04,0,2.78E-04,0,0,0,0,0,0,0,2.78E-04
3,Fall,2022,BrownSquarePark,City of Rochester,High_Urban,12977,1.36,17197,0.031982322,1751.5,66.25232342,25.99711677,1.479040438,0.2640913,6.319005,7.5,25.6,48,33,19,0.480008264,12.47883089,-0.631947318,0.018639089,0.189807146,217.6650053,32,0.600849317,1.805134855,0,0,0.001504951,0,0,0,0.001014206,0,0,0,0,0,0,0,2.50E-04,0,0,0,0,0,0,0,0.001000757,0,0,0,2.62E-04,0,0.001000757,0,0,0,0,2.37E-04,0,0,0,0,2.50E-04,0,0,0,0,0,0,0,7.51E-04,0,0,0,0,0,0,0,0.011703257,0.014450976,7.24E-04,0,0,2.50E-04,0.002616332,0.020012911,0.001222338,0,0,0,0.008296644,0,0,0.001308166,0,0,0,2.41E-04,0,4.78E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121759444,0.003754844,0.011027412,0.007620118,0,0,0,2.41E-04,0,0,0,0.003252461,0,0,0,0,0,0,0,2.62E-04,0,0,4.81E-04,0,4.81E-04,4.81E-04,0,4.81E-04,0,0,0,0,2.50E-04
3,Spring,2021,BrownSquarePark,City of Rochester,High_Urban,12977,1.36,17197,0.031982322,1751.5,66.25232342,25.99711677,1.479040438,0.2640913,6.319005,7.5,25.6,48,33,19,0.480008264,12.47883089,-0.631947318,0.018639089,0.189807146,125.9429858,24,0.570089622,2.193922203,0.00138784,0.007374053,0.005719576,0,0,0,0.002042676,0,0.001660201,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00487055,2.78E-04,0,0,0.012122978,0,0,0,0,0,0,8.63E-04,2.78E-04,2.78E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006693577,0.002822052,0.002822052,6.27E-04,0,0,0.002807925,0.003420921,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75E-04,0.001550148,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056434177,0,0.004629697,0.00501698,0,0,0,0,0,0,0,8.26E-04,0,0,0,0,0,0,0,0,0,0,0,0,0.001141577,0,0,0,0,0,0,0,0
3,Spring,2022,BrownSquarePark,City of Rochester,High_Urban,12977,1.36,17197,0.031982322,1751.5,66.25232342,25.99711677,1.479040438,0.2640913,6.319005,7.5,25.6,48,33,19,0.480008264,12.47883089,-0.631947318,0.018639089,0.189807146,104.0651565,38,0.686182074,2.890122836,5.34E-04,0.002311895,0.010722185,0,0,0,0.003565677,0,0,0.001547547,0,0,0,0,0,0,0,5.34E-04,0,0,2.77E-04,0,0.016875126,0,0,0,7.98E-04,0,0.004784818,7.82E-04,0,0,0,0,2.61E-04,2.57E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71E-04,2.58E-04,0.001662695,0,0,0.009814487,0.00265503,0,0,5.54E-04,0,0.002771158,0,0.003361297,2.77E-04,0,0,0.006274125,0,0,0.005542317,0,0.001823682,0,2.57E-04,0,0,0,0.001108463,0,0,0,0,0,0,0,0,0,0,0,0,0.01598121,0.00103587,0.001921143,0.001091874,0,0,0,0,0,7.71E-04,0,7.74E-04,0,0,0,0,0,0,0,0,0,0,2.61E-04,0,2.61E-04,5.17E-04,0,5.17E-04,0,0,0,0,5.54E-04
